artist_ablum_track,genre,jamp_url
"['Brevyn', 'Spires', 'Brevyn_-_02_-_Time.mp3']","
Electronic, Ambient Electronic, IDM ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/no_curator/Brevyn/Spires/Brevyn_-_02_-_Time.mp3
"['Brevyn', 'Spires', 'Brevyn_-_01_-_Cosmic.mp3']","
Electronic, Ambient Electronic, IDM ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/no_curator/Brevyn/Spires/Brevyn_-_01_-_Cosmic.mp3
"['Brevyn', 'Spires', 'Brevyn_-_04_-_Spires.mp3']","
Electronic, Ambient Electronic, IDM ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/no_curator/Brevyn/Spires/Brevyn_-_04_-_Spires.mp3
"['Brevyn', 'Spires', 'Brevyn_-_03_-_Zemdens.mp3']","
Electronic, Ambient Electronic, IDM ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/no_curator/Brevyn/Spires/Brevyn_-_03_-_Zemdens.mp3
"['303__illocanblo', 'Baltdub', '303__illocanblo_-_12_-_Jah_Dub_pt_3.mp3']","
Experimental, IDM ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/no_curator/303__illocanblo/Baltdub/303__illocanblo_-_12_-_Jah_Dub_pt_3.mp3
"['The_Tleilaxu_Music_Machine', 'Baltdub', 'The_Tleilaxu_Music_Machine_-_09_-_This_Summer.mp3']","
Experimental, IDM ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/WFMU/The_Tleilaxu_Music_Machine/Baltdub/The_Tleilaxu_Music_Machine_-_09_-_This_Summer.mp3
"['The_Tleilaxu_Music_Machine', 'Baltdub', 'The_Tleilaxu_Music_Machine_-_08_-_Itrydethink4.mp3']","
Experimental, IDM ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/WFMU/The_Tleilaxu_Music_Machine/Baltdub/The_Tleilaxu_Music_Machine_-_08_-_Itrydethink4.mp3
"['The_Tleilaxu_Music_Machine', 'Baltdub', 'The_Tleilaxu_Music_Machine_-_02_-_Fresh_In.mp3']","
Experimental, IDM ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/WFMU/The_Tleilaxu_Music_Machine/Baltdub/The_Tleilaxu_Music_Machine_-_02_-_Fresh_In.mp3
"['The_Tleilaxu_Music_Machine', 'Baltdub', 'The_Tleilaxu_Music_Machine_-_01_-_Izbushka_Systo.mp3']","
Experimental, IDM ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/WFMU/The_Tleilaxu_Music_Machine/Baltdub/The_Tleilaxu_Music_Machine_-_01_-_Izbushka_Systo.mp3
"['Csum', 'Anaerobica', 'Csum_-_10_-_Adequator.mp3']","
Electronic, Experimental, Glitch, IDM ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nenormalizm_Records/Csum/Anaerobica/Csum_-_10_-_Adequator.mp3
"['Csum', 'Anaerobica', 'Csum_-_09_-_Hypolink_loopy_mix.mp3']","
Electronic, Experimental, Glitch, IDM ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nenormalizm_Records/Csum/Anaerobica/Csum_-_09_-_Hypolink_loopy_mix.mp3
"['Csum', 'Anaerobica', 'Csum_-_08_-_Diam.mp3']","
Electronic, Experimental, Glitch, IDM ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nenormalizm_Records/Csum/Anaerobica/Csum_-_08_-_Diam.mp3
"['Csum', 'Anaerobica', 'Csum_-_07_-_FM_Acid_fmix.mp3']","
Electronic, Experimental, Glitch, IDM ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nenormalizm_Records/Csum/Anaerobica/Csum_-_07_-_FM_Acid_fmix.mp3
"['Csum', 'Anaerobica', 'Csum_-_06_-_Sign_Waiver.mp3']","
Electronic, Experimental, Glitch, IDM ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nenormalizm_Records/Csum/Anaerobica/Csum_-_06_-_Sign_Waiver.mp3
"['Csum', 'Anaerobica', 'Csum_-_05_-_Onionion.mp3']","
Electronic, Experimental, Glitch, IDM ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nenormalizm_Records/Csum/Anaerobica/Csum_-_05_-_Onionion.mp3
"['Csum', 'Anaerobica', 'Csum_-_04_-_Frenzy_Defrag.mp3']","
Electronic, Experimental, Glitch, IDM ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nenormalizm_Records/Csum/Anaerobica/Csum_-_04_-_Frenzy_Defrag.mp3
"['Csum', 'Anaerobica', 'Csum_-_03_-_Good_to_Go.mp3']","
Electronic, Experimental, Glitch, IDM ",https://files.freemusicarchive.org/storage-freemusicarchive-org/music/Nenormalizm_Records/Csum/Anaerobica/Csum_-_03_-_Good_to_Go.mp3
